1:2	kowp				Qui étaient les "témoins oculaires" que Luc mentionne ?	Les "témoins oculaires" étaient ceux qui étaient avec les apôtres dès le début du ministère de Jésus.

1:2	gjx5				Qu'ont fait certains des témoins oculaires après avoir vu ce que Jésus a fait ?	Ils ont écrit un récit ou une histoire de ce que Jésus a fait.

1:4	b5g8				Pourquoi Luc a-t-il décidé d'écrire son propre récit de ce que Jésus a dit et fait ?	Il voulait que Théophile connaisse la certitude concernant les choses qui lui avaient été enseignées.

1:6	ykne				Pourquoi Dieu a-t-il considéré Zacharie et Elisabeth comme des justes ?	Dieu les considérait comme des justes parce qu'ils marchaient de manière irréprochable dans ses commandements.

1:7	lyss				Pourquoi Zacharie et Elizabeth n'ont-ils pas eu d'enfants ?	Ils n'ont pas eu d'enfants parce qu'Elisabeth n'a pas pu porter d'enfant. Elle et Zacharie étaient maintenant très âgés.

1:8	ndy2				Quel travail Zacharie faisait-il devant Dieu ?	Zacharie servait en tant que prêtre.

1:9	am5d				Qu'a fait Zacharie dans le temple ?	Il a brûlé de l'encens à Dieu.

1:10	i1yp				Que faisaient les gens pendant que Zacharie était dans le temple ?	Les gens sont restés à l'extérieur du temple et priaient.

1:11	aeen				Qui est apparu à Zacharie pendant qu'il était dans le temple ?	Un ange du Seigneur est apparu à Zacharie dans le temple.

1:12	x8vw				Comment Zacharie a-t-il agi lorsqu'il a vu l'ange ?	Lorsque Zacharie a vu l'ange, il a été troublé et a eu très peur.

1:13	di28				Qu'a dit l'ange à Zacharie ?	L'ange a dit à Zacharie de ne pas avoir peur et que sa femme Elisabeth aurait un fils. Son fils s'appellera Jean.

1:16	uvx1				Qu'est-ce que l'ange a dit que Jean ferait pour les fils d'Israël ?	L'ange a dit que Jean ferait revenir les fils d'Israël au Seigneur leur Dieu.

1:17	itoe				Quel genre de personnes les actes de Jean prépareraient-ils ?	Les actes de Jean prépareraient un peuple préparé pour le Seigneur.

1:19	nsxz				Quel était le nom de l'ange et où se trouvait-il habituellement ?	L'ange s'appelait Gabriel et se tenait normalement en présence de Dieu.

1:20	go3k				Qu'est-ce que l'ange a dit qu'il arriverait à Zacharie parce qu'il n'a pas cru les paroles de l'ange ?	Zacharie ne pourra pas parler avant la naissance de l'enfant.

1:27	sls7				Six mois après la conception d'Elisabeth, qui Gabriel est-il envoyé par Dieu pour voir ?	Il a été envoyé à une vierge nommée Marie, qui était fiancée à Joseph, un descendant de David.

1:31	mv8j				Qu'est-ce que l'ange a dit qu'il arriverait à Marie ?	L'ange a dit que Marie serait enceinte et porterait un fils, qu'elle appellerait Jésus.

1:33	c31e				Que ferait l'enfant ?	L'enfant régnera sur la descendance de Jacob pour toujours, et son royaume n'aura pas de fin.

