1:1	o4pb				Dans la généalogie de Jésus-Christ, quels sont les deux ancêtres cités en premier, ce qui indique leur importance ?	Les deux premiers ancêtres cités sont David et Abraham.

1:16	vey7				À la fin de la généalogie, qui est la femme qui est nommée, et pourquoi est-elle citée ?	Marie, l'épouse de Joseph, est citée parce que c'est elle qui a donné naissance à Jésus.

1:18	yex8				Qu'est-il arrivé à Marie avant qu'elle ne soit réunie avec Joseph ?	Marie est tombée enceinte par l'Esprit Saint avant de s'unir à Joseph.

1:19	tu3d				Quel genre d'homme était Joseph ?	Joseph était un homme juste.

1:19	xrzl				Qu'est-ce que Joseph a décidé de faire lorsqu'il a appris que Marie était enceinte ?	Joseph décide de mettre fin secrètement aux fiançailles avec Marie.

1:20	wuf6				Qu'est-il arrivé à Joseph pour qu'il décide de rester fiancé à Marie ?	Un ange a dit en rêve à Joseph de prendre Marie pour épouse car le bébé a été conçu par le Saint-Esprit.

1:21	sz7n				Pourquoi a-t-on dit à Joseph de donner au bébé le nom de Jésus ?	On a dit à Joseph d'appeler le bébé Jésus parce qu'il sauvera son peuple de ses péchés.

1:23	hqo8				Qu'est-il écrit dans la prophétie de l'Ancien Testament qui s'est accomplie dans ces événements ?	La prophétie de l'Ancien Testament était qu'une vierge donnerait naissance à un fils et qu'on l'appellerait Emmanuel, ce qui signifie "Dieu avec nous".

1:25	keii				Qu'est-ce que Joseph a pris soin de ne pas faire jusqu'à ce que Marie donne naissance à Jésus ?	Joseph a pris soin de ne pas coucher avec Marie jusqu'à ce qu'elle donne naissance à Jésus.

2:1	yxb0				Où est né Jésus ?	Jésus est né à Bethléem en Judée.

2:2	be08				Quel titre les savants de l'Orient ont-ils donné à Jésus ?	Les savants de l'Orient ont donné à Jésus le titre de "roi des Juifs".

2:2	jrcn				Comment les savants ont-ils su que le Roi des Juifs était né ?	Les savants avaient vu l'étoile du roi des Juifs à l'orient.

