1:3	jsvo				Qu'est-ce que Paul se rappelle toujours devant Dieu concernant les Thessaloniciens ?	Paul se souvient de leur travail de foi, de leur travail d'amour et de leur patience d'espérance.

1:5	vb48				De quelles quatre manières l'évangile est-il parvenu aux Thessaloniciens ?	L'Évangile est arrivé aux Thessaloniciens en paroles, en puissance, dans le Saint-Esprit et avec beaucoup d'assurance.

1:6	bs88				Que se passait-il pour les Thessaloniciens lorsqu'ils recevaient la parole de l'Évangile ?	Les Thessaloniciens ont reçu la parole dans de grandes difficultés.

1:6	ry9n				Quelle était l'attitude des Thessaloniciens lorsqu'ils ont reçu la parole de l'Évangile ?	Les Thessaloniciens ont reçu la parole avec joie dans l'Esprit Saint.

1:8	kr5u				Qu'est-il arrivé à la parole du Seigneur après que les Thessaloniciens l'aient reçue ?	La parole du Seigneur a résonné partout où leur foi s'est manifestée.

1:9	rpj1				Qu'est-ce que les Thessaloniciens adoraient avant de devenir des croyants du vrai Dieu ?	Les Thessaloniciens adoraient des idoles avant de devenir des croyants au vrai Dieu.

1:10	pbgo				Qu'attendaient Paul et les Thessaloniciens ?	Paul et les Thessaloniciens attendaient que Jésus vienne du ciel.

1:10	cbw4				De quoi Jésus nous délivre-t-il ?	Jésus nous délivre de la colère à venir.

2:2	kue3				Comment Paul et ses compagnons avaient-ils été traités avant de venir chez les Thessaloniciens ?	Paul et ses compagnons avaient souffert et avaient été traités de manière honteuse.

2:4	xmfg				À qui Paul souhaite-t-il plaire par sa prédication de l'Évangile ?	Paul désire plaire à Dieu par sa prédication de l'Évangile.

2:5-6	lzjy				Qu'est-ce que Paul n'a pas fait dans sa prédication de l'évangile ?	Paul n'utilisait pas la flatterie, ni ne recherchait la gloire des gens.

2:7-8	a4vk				Comment Paul traitait-il les Thessaloniciens lorsqu'il était parmi eux ?	Paul était doux avec les Thessaloniciens, comme une mère ou un père avec ses propres enfants.

2:9	pmdp				Qu'ont fait Paul et ses compagnons pour ne pas être un fardeau pour les Thessaloniciens ?	Paul et ses compagnons ont travaillé nuit et jour afin de ne pas être un fardeau pour les Thessaloniciens.

2:11	cqdq				Comment Paul traitait-il les Thessaloniciens lorsqu'il était parmi eux ?	Paul était doux avec les Thessaloniciens comme une mère ou un père avec ses propres enfants.

2:12	zklm				Comment Paul a-t-il dit aux Thessaloniciens qu'ils devaient marcher ?	Paul a dit aux Thessaloniciens qu'ils devaient marcher d'une manière digne de Dieu qui les appelle à son propre royaume et à sa gloire.

2:13	r3kn				De quelle manière les Thessaloniciens ont-ils reçu le message que Paul leur a prêché ?	Les Thessaloniciens ont reçu le message comme la parole de Dieu, et non comme la parole de l'homme.

2:14-16	s0f1				Qu'avaient fait les Juifs incrédules qui ne plaisaient pas à Dieu ?	Les Juifs incrédules ont persécuté les églises de Judée, tué Jésus et les prophètes, chassé Paul et lui ont interdit de parler aux païens.

2:17-18	nj2y				Pourquoi Paul n'a-t-il pas pu venir chez les Thessaloniciens alors que c'était son souhait ?	Paul n'a pas pu venir parce que Satan l'en a empêché.

2:19-20	rv3r				Que seront les Thessaloniciens pour Paul à la venue du Seigneur ?	Les Thessaloniciens seront l'espoir, la joie et la couronne de gloire de Paul lors de la venue du Seigneur.

3:1-2	dx8i				Qu'a fait Paul, même s'il devait être laissé derrière lui à Athènes ?	Paul a envoyé Timothée pour fortifier et réconforter les croyants de Thessalonique.

3:3	j0y4				A quoi Paul a-t-il dit qu'il avait été nommé ?	Paul a dit qu'il était destiné aux afflictions.

3:5	ksba				A propos de quoi Paul était-il préoccupé par les Thessaloniciens ?	Paul était préoccupé par le fait que, d'une manière ou d'une autre, le tentateur les avait tentés et que son travail avait été vain.

3:6-7	txwz				Qu'est-ce qui a réconforté Paul lorsque Timothée est revenu de Thessalonique ?	Paul a été réconforté d'entendre la bonne nouvelle de la foi et de l'amour des Thessaloniciens, et qu'ils désiraient ardemment le voir.

3:8	eu19				Paul dit qu'il vit si les Thessaloniciens font quoi ?	Paul dit qu'il vit si les Thessaloniciens restent fermes dans le Seigneur.

3:10	t3l7				Pour quoi Paul prie-t-il nuit et jour ?	Paul prie nuit et jour pour pouvoir voir les Thessaloniciens et leur apporter ce qui manque à leur foi.

3:12	ifsm				En quoi Paul souhaite-t-il que les Thessaloniciens augmentent et abondent ?	Paul souhaite que les Thessaloniciens augmentent et abondent en amour les uns envers les autres et envers tous les hommes.

3:13	jsfc				Pour quel événement Paul veut-il que les Thessaloniciens soient préparés en ayant un cœur irréprochable dans la sainteté ?	Paul veut que les Thessaloniciens soient préparés à la venue du Seigneur Jésus avec tous ses saints.

4:1-2	mqqb				Que voulait Paul que les Thessaloniciens fassent des instructions qu'il leur avait données sur la manière dont ils devaient marcher et plaire à Dieu ?	Paul voulait que les Thessaloniciens continuent à marcher et à plaire à Dieu, et qu'ils fassent encore plus.

4:3	j6zy				Selon Paul, quelle était la volonté de Dieu pour les Thessaloniciens ?	Paul a dit que la volonté de Dieu pour les Thessaloniciens était leur sanctification.

4:4	nwbv				Comment les maris devaient-ils traiter leurs femmes ?	Les maris devaient traiter leurs femmes dans la sainteté et l'honneur.

4:6	sshf				Qu'arriverait-il à un frère qui aurait péché en matière d'immoralité sexuelle ?	Le Seigneur serait un vengeur envers un frère qui a péché en matière d'immoralité sexuelle.

4:8	p71q				Qui rejette une personne qui rejette l'appel à la sainteté ?	Une personne qui rejette l'appel à la sainteté rejette Dieu.

4:9-10	wni9				Que faisaient les Thessaloniciens que Paul voulait qu'ils fassent encore plus ?	Paul voulait que les Thessaloniciens s'aiment encore plus les uns les autres.

4:11-12	gj89				Que devaient faire les Thessaloniciens pour marcher correctement devant les non-croyants et n'avoir besoin de rien ?	Les Thessaloniciens devaient être tranquilles, s'occuper de leurs affaires et travailler de leurs mains.

4:13	n5xh				Sur quel sujet les Thessaloniciens ont-ils pu avoir un malentendu ?	Les Thessaloniciens avaient peut-être un malentendu sur ce qui arrivait à ceux qui dormaient.

4:14	cc78				Que fera Dieu pour ceux qui se sont endormis en Jésus ?	Dieu ramènera avec Jésus ceux qui se sont endormis dans le Christ.

4:16	y01z				Comment le Seigneur descendra-t-il du ciel ?	Le Seigneur descendra du ciel avec un cri de joie et avec la trompette de Dieu.

4:16-17	w4lj				Qui se lèvera le premier, et qui se lèvera ensuite avec lui ?	Les morts en Christ ressusciteront d'abord, puis ceux qui sont encore en vie seront enlevés avec eux.

4:17	h18n				Qui les ressuscités vont-ils rencontrer, et pour combien de temps ?	Les ressuscités rencontreront le Seigneur dans les airs, et seront alors toujours avec le Seigneur.

4:18	ddhx				Qu'est-ce que Paul a dit aux Thessaloniciens de faire avec son enseignement sur ceux qui se sont endormis ?	Paul a dit aux Thessaloniciens de se réconforter mutuellement par ses paroles.

5:2	fshz				Comment Paul dit-il que le jour du Seigneur viendra ?	Paul dit que le jour du Seigneur viendra comme un voleur dans la nuit.

5:3	za4n				Que diront certains lorsque la destruction soudaine s'abattra sur eux ?	Certains diront : "Paix et sécurité".

5:4-5	id8z				Pourquoi Paul dit-il que le jour du Seigneur ne doit pas surprendre les croyants comme un voleur ?	Parce que les croyants ne sont pas dans les ténèbres, mais sont fils de la lumière, le jour du Seigneur ne devrait pas les surprendre comme un voleur.

5:6	bu2n				Que dit Paul aux croyants à propos de la venue du jour du Seigneur ?	Paul dit aux croyants de veiller et d'être sobres.

5:9	w9s4				A quoi les croyants sont-ils destinés par Dieu ?	Les croyants sont destinés par Dieu au salut par le Seigneur Jésus-Christ.

5:12-13	fwhv				Selon Paul, quelle attitude les croyants doivent-ils avoir envers ceux qui les dominent dans le Seigneur ?	Paul dit qu'ils doivent les reconnaître et les estimer dans l'amour.

5:15	e8l5				Qu'est-ce que Paul dit que personne ne doit faire quand on lui fait du mal ?	Paul dit que personne ne doit rendre le mal quand le mal lui est fait.

5:18	j9n0				Qu'est-ce que Paul dit que les croyants doivent faire en tout, et pourquoi ?	Paul dit que les croyants doivent rendre grâce en toute chose, car telle est la volonté de Dieu à leur égard.

5:20-21	gwld				Quelles instructions Paul donne-t-il aux croyants au sujet des prophéties ?	Paul demande aux croyants de ne pas mépriser les prophéties, et d'éprouver toutes choses, en retenant ce qui est bon.

5:23	uvxs				Que prie Paul pour que Dieu fasse pour les croyants ?	Paul prie pour que Dieu sanctifie complètement les croyants en esprit, en âme et en corps.

5:28	pn17				Qu'est-ce que Paul prie pour que les croyants soient avec lui ?	Paul prie pour que la grâce du Seigneur Jésus-Christ soit avec les croyants.
