1:1	tojv				De qui cette révélation est-elle venue en premier lieu, et à qui la révélation est-elle montrée ?	La révélation de Jésus-Christ est venue de Dieu, et elle est montrée à ses serviteurs.

1:1	g2lr				Quand les événements de la révélation auraient-ils lieu ?	Les événements de la révélation allaient bientôt avoir lieu.

1:3	qgud				Qui sera béni par ce livre ?	Ceux qui lisent à haute voix, écoutent et obéissent aux paroles de ce livre seront bénis.

1:4	vzw3				Qui a écrit ce livre, et à qui s'adressait-il ?	Jean a écrit ce livre, et il a écrit aux sept églises d'Asie.

1:5	ji9p				Quels sont les trois titres que Jean donne à Jésus-Christ ?	Jean donne à Jésus-Christ les titres de témoin fidèle, de premier-né des morts et de chef des rois de la terre.

1:6	dpp4				Qu'est-ce que Jésus a fait des croyants ?	Jésus a fait des croyants un royaume et des prêtres pour Dieu le Père.

1:7	pizn				Qui verra Jésus quand il viendra ?	Tous les yeux verront Jésus quand il viendra, y compris ceux qui l'ont transpercé.

1:8	r9cy				Comment le Seigneur Dieu se décrit-il ?	Le Seigneur Dieu se décrit comme l'alpha et l'oméga, celui qui est, qui était et qui vient, le Tout-Puissant.

1:9	ftzo				Pourquoi Jean était-il sur l'île de Patmos ?	Jean se trouvait sur l'île de Patmos à cause de la parole de Dieu et du témoignage de Jésus.

1:11	ogsn				Qu'est-ce que la voix forte derrière Jean lui a dit de faire ?	La voix forte dit à Jean d'écrire dans un livre ce qu'il a vu et de l'envoyer aux sept églises.

1:14	jd6c				Quel genre de cheveux et d'yeux avait l'homme que Jean a vu ?	L'homme que Jean a vu avait des cheveux blancs comme de la laine et des yeux comme une flamme ardente.

1:16	h0pg				Qu'est-ce qui était dans la main droite de l'homme, et qu'est-ce qui sortait de sa bouche ?	L'homme avait sept étoiles dans sa main droite et une épée aiguë à deux tranchants sortait de sa bouche.

1:17	vylp				Qu'a fait Jean quand il a vu l'homme ?	John est tombé aux pieds de l'homme comme un mort.

1:18	h71o				Quelles clés l'homme a-t-il dit avoir ?	L'homme a dit qu'il avait les clés de la mort et de l'Hadès.

1:20	mqey				Quelle était la signification des sept étoiles et des sept chandeliers d'or ?	Les sept étoiles étaient les anges des sept églises, et les sept chandeliers étaient les sept églises.

2:1	qoky				A quel ange est adressée la partie suivante du livre ?	La partie suivante du livre est écrite à l'ange de l'église d'Ephèse.

2:2	zaft				Qu'a fait l'église d'Ephèse à l'égard de ceux qui sont mauvais et des faux prophètes ?	L'église d'Ephèse n'a pas supporté ceux qui sont mauvais et a mis à l'épreuve les faux prophètes.

